dataset,rec_id,subject,chan,split,n_tokens,path
dodh,0d79f4b1-e74f-5e87-8e42-f9dd7112ada5,0d79f4b1-e74f-5e87-8e42-f9dd7112ada5,F3-M2,train,290400,/data/gen/tokens/dodh/0d79f4b1-e74f-5e87-8e42-f9dd7112ada5__F3-M2.npy
dodh,0d79f4b1-e74f-5e87-8e42-f9dd7112ada5,0d79f4b1-e74f-5e87-8e42-f9dd7112ada5,F3-F4,train,290400,/data/gen/tokens/dodh/0d79f4b1-e74f-5e87-8e42-f9dd7112ada5__F3-F4.npy
dodh,1da3544e-dc5c-5795-adc3-f5068959211f,1da3544e-dc5c-5795-adc3-f5068959211f,F3-M2,train,286500,/data/gen/tokens/dodh/1da3544e-dc5c-5795-adc3-f5068959211f__F3-M2.npy
dodh,1da3544e-dc5c-5795-adc3-f5068959211f,1da3544e-dc5c-5795-adc3-f5068959211f,F3-F4,train,286500,/data/gen/tokens/dodh/1da3544e-dc5c-5795-adc3-f5068959211f__F3-F4.npy
dodh,1fa6c401-d819-50f5-8146-a0bb9e2b2516,1fa6c401-d819-50f5-8146-a0bb9e2b2516,F3-M2,train,295800,/data/gen/tokens/dodh/1fa6c401-d819-50f5-8146-a0bb9e2b2516__F3-M2.npy
dodh,1fa6c401-d819-50f5-8146-a0bb9e2b2516,1fa6c401-d819-50f5-8146-a0bb9e2b2516,F3-F4,train,295800,/data/gen/tokens/dodh/1fa6c401-d819-50f5-8146-a0bb9e2b2516__F3-F4.npy
dodh,119f9726-eb4c-5a0e-a7bb-9e15256149a1,119f9726-eb4c-5a0e-a7bb-9e15256149a1,F3-M2,train,279600,/data/gen/tokens/dodh/119f9726-eb4c-5a0e-a7bb-9e15256149a1__F3-M2.npy
dodh,119f9726-eb4c-5a0e-a7bb-9e15256149a1,119f9726-eb4c-5a0e-a7bb-9e15256149a1,F3-F4,train,279600,/data/gen/tokens/dodh/119f9726-eb4c-5a0e-a7bb-9e15256149a1__F3-F4.npy
dodh,14c012bd-65b0-56f5-bc74-2dffcea69837,14c012bd-65b0-56f5-bc74-2dffcea69837,F3-M2,train,290700,/data/gen/tokens/dodh/14c012bd-65b0-56f5-bc74-2dffcea69837__F3-M2.npy
dodh,14c012bd-65b0-56f5-bc74-2dffcea69837,14c012bd-65b0-56f5-bc74-2dffcea69837,F3-F4,train,290700,/data/gen/tokens/dodh/14c012bd-65b0-56f5-bc74-2dffcea69837__F3-F4.npy
